run_id,role,window,start,end,n_bars,timesteps,cumulative_return,sharpe,max_drawdown,final_equity,news_coverage,calmar,approx_kl,entropy_loss,ppo_updates,zip,beats_trading_golden,beats_live_best
resurrection_20260820,trading_golden,113,2026-07-09,2026-08-12,1950,65536,0.1800407212640291,0.031690930359134,0.0876598252693148,1180040.7212640292,1.0,2.053856720691549,0.0018300457159057,-24.68637736439705,8,checkpoint_2026-08-12.zip,,
resurrection_20260820,training_seed,118,2026-07-15,2026-08-18,1905,65536,0.1636926654215618,0.0311402916264936,0.089309390794502,1163692.6654215618,1.0,1.832871817457733,0.0020937579683959,-25.55749899148941,8,checkpoint_2026-08-18.zip,,
2026-08-22T17:45:52.798634+08:00,live_best,121,2026-07-18,2026-08-21,,,,,,,,4.915579776706664,,,,best_model.zip,,
20260822_174157,finetune,121,2026-07-18,2026-08-21,1866,65536,0.2732936694477714,0.053273900145794,0.0555974436103796,1273293.6694477715,0.8071921982933766,4.915579776706664,0.0045494120568037,-25.64970001578331,8,finetuned_2026-08-22.zip,True,True
