window,start,end,n_bars,timesteps,cumulative_return,sharpe,max_drawdown,final_equity,news_coverage
1,2026-02-24,2026-03-30,1883,18530,0.04396643476278972,0.0,0.022839525187799165,1043966.4347627898,1.0
2,2026-02-25,2026-03-31,1924,18940,0.026210307196700144,0.0,0.039909117443170494,1026210.3071967001,1.0
3,2026-02-26,2026-04-01,1956,19260,0.08815820653322382,0.0,0.05573477827343782,1088158.2065332239,1.0
4,2026-02-27,2026-04-02,1956,19260,0.1965858577869286,0.0,0.05123287517300426,1196585.8577869285,1.0
5,2026-02-28,2026-04-03,1904,18740,0.16407209112742693,0.0,0.06901507776733225,1164072.0911274268,1.0
6,2026-03-02,2026-04-06,1887,18570,0.20158294928988907,0.0,0.06864305823786192,1201582.949289889,1.0
8,2026-03-04,2026-04-08,1882,18520,0.3458378936197528,0.0,0.05727741257366278,1345837.8936197527,1.0
