datetime,ticker,sentiment_score
2026-02-24 08:10:00,US.COST,0.11372200000000002
2026-02-24 08:50:00,US.COST,0.22775448686930364
2026-02-24 10:50:00,US.COST,0.1960303603915833
2026-02-24 13:50:00,US.COST,0.18148093061757425
2026-02-24 14:50:00,US.COST,0.20907237772635032
2026-02-24 15:20:00,US.COST,0.1968607369906732
2026-02-24 15:50:00,US.COST,0.18851312487945016
2026-02-24 16:30:00,US.COST,0.18757221730134704
2026-02-24 16:50:00,US.COST,-0.013663312123621645
2026-02-24 20:20:00,US.COST,-0.014016820354427847
2026-02-24 23:00:00,US.COST,0.03748980397885542
2026-02-25 06:20:00,US.COST,0.008685121589823352
2026-02-25 06:30:00,US.COST,0.05168062689724783
2026-02-25 08:50:00,US.COST,0.05920784440999186
2026-02-25 10:50:00,US.COST,0.05527267954769448
2026-02-25 14:50:00,US.COST,0.0707864654344906
2026-02-25 19:50:00,US.COST,0.07081256346201394
2026-02-26 03:50:00,US.COST,0.16073077421162993
2026-02-26 07:50:00,US.COST,0.2387243701944948
2026-02-26 08:00:00,US.COST,0.1980270723599053
2026-02-26 09:40:00,US.COST,0.2336814725167017
2026-02-26 10:50:00,US.COST,0.19913222443433434
2026-02-26 13:50:00,US.COST,0.216489629084355
2026-02-26 16:50:00,US.COST,0.23419343389171962
2026-02-26 17:50:00,US.COST,0.19975234120494353
2026-02-26 18:00:00,US.COST,0.20618545314493816
2026-02-26 20:30:00,US.COST,0.18247988095240775
2026-02-26 21:00:00,US.COST,0.18047510144341006
2026-02-27 01:50:00,US.COST,0.22242405368145288
2026-02-27 04:50:00,US.COST,0.22313830343783775
2026-02-27 05:50:00,US.COST,0.17594582560462294
2026-02-27 11:30:00,US.COST,0.17271598542678643
2026-02-27 11:40:00,US.COST,0.14244266421155896
2026-02-27 11:50:00,US.COST,0.12760312173239702
2026-02-27 14:40:00,US.COST,0.18189772059664605
2026-02-27 14:50:00,US.COST,0.18919255197951015
2026-02-27 15:50:00,US.COST,0.20644176709871448
2026-02-27 16:50:00,US.COST,0.22156106198236367
2026-02-27 17:30:00,US.COST,0.23731842263045413
2026-02-27 17:50:00,US.COST,0.2794993150407104
2026-02-27 22:40:00,US.COST,0.27002083397044974
2026-02-27 23:00:00,US.COST,0.28855543041116477
2026-02-28 04:40:00,US.COST,0.28512714117588633
2026-02-28 05:50:00,US.COST,0.28579558127956484
2026-02-28 06:50:00,US.COST,0.29973976265467994
2026-02-28 08:50:00,US.COST,0.315496528590575
2026-02-28 10:00:00,US.COST,0.30264495090228094
2026-02-28 11:50:00,US.COST,0.2854771870853717
2026-02-28 12:40:00,US.COST,0.24348364377732465
2026-02-28 12:50:00,US.COST,0.2398578735091625
2026-02-28 13:30:00,US.COST,0.21601180714437918
2026-02-28 14:50:00,US.COST,0.2150710783116436
2026-02-28 15:40:00,US.COST,0.17965681054266258
2026-02-28 17:10:00,US.COST,0.18698562674071936
2026-02-28 20:40:00,US.COST,0.13877452022361922
2026-02-28 21:40:00,US.COST,0.22372214726087858
2026-02-28 23:30:00,US.COST,0.20185220158025977
2026-03-01 04:50:00,US.COST,0.19707229778503402
2026-03-01 05:50:00,US.COST,0.19073560647701765
2026-03-01 08:40:00,US.COST,0.2513286223470584
2026-03-01 09:30:00,US.COST,0.2700180656379081
2026-03-01 09:50:00,US.COST,0.29653457854458176
2026-03-01 10:10:00,US.COST,0.2746197398167656
2026-03-01 11:50:00,US.COST,0.2531257380630287
2026-03-01 12:40:00,US.COST,0.1933415624202023
2026-03-01 13:40:00,US.COST,0.20055203860776452
2026-03-01 14:30:00,US.COST,0.22275279755768293
2026-03-01 18:50:00,US.COST,0.2017534489072548
2026-03-01 22:40:00,US.COST,0.14321530127587362
2026-03-02 02:40:00,US.COST,0.11825814643942952
2026-03-02 03:10:00,US.COST,0.07611850590119988
2026-03-02 06:00:00,US.COST,0.08035971576572444
2026-03-02 06:40:00,US.COST,0.13039518475716266
2026-03-02 08:00:00,US.COST,0.15413521946854675
2026-03-02 09:50:00,US.COST,0.16711246287221454
2026-03-02 11:40:00,US.COST,0.18224199875806946
2026-03-02 11:50:00,US.COST,0.13716899591336335
2026-03-02 12:40:00,US.COST,0.16108592372158706
2026-03-02 13:40:00,US.COST,0.21414077232296239
2026-03-02 14:00:00,US.COST,0.2129270942824292
2026-03-02 14:50:00,US.COST,0.2308312693797576
2026-03-02 17:50:00,US.COST,0.23047821374949023
2026-03-02 18:00:00,US.COST,0.2637851787243264
2026-03-02 18:20:00,US.COST,0.26374822118126384
2026-03-02 22:20:00,US.COST,0.27917317973001954
2026-03-02 22:30:00,US.COST,0.27539652171403584
2026-03-03 00:50:00,US.COST,0.29780488174694125
2026-03-03 01:50:00,US.COST,0.24567046993061473
2026-03-03 03:00:00,US.COST,0.25808208512007375
2026-03-03 04:50:00,US.COST,0.2676050916149887
2026-03-03 11:30:00,US.COST,0.2834304518266687
2026-03-03 11:50:00,US.COST,0.2717107770134055
2026-03-03 12:30:00,US.COST,0.27099001564879266
2026-03-03 12:40:00,US.COST,0.25347346355244577
2026-03-03 13:00:00,US.COST,0.24172520294036773
2026-03-03 13:30:00,US.COST,0.2562386295064398
2026-03-03 13:40:00,US.COST,0.29874765647229934
2026-03-03 15:00:00,US.COST,0.3195616688370409
2026-03-03 15:40:00,US.COST,0.3046333219809091
2026-03-03 17:30:00,US.COST,0.29473341360352145
2026-03-03 17:50:00,US.COST,0.26266372277224526
2026-03-03 18:00:00,US.COST,0.27224964408324137
2026-03-03 18:40:00,US.COST,0.24068312293318272
2026-03-03 21:40:00,US.COST,0.2240487018020797
2026-03-04 03:50:00,US.COST,0.1938859229185895
2026-03-04 09:30:00,US.COST,0.17247065190785482
2026-03-04 09:50:00,US.COST,0.19425953559399264
2026-03-04 11:40:00,US.COST,0.19827465038458517
2026-03-04 12:30:00,US.COST,0.15530798113651356
2026-03-04 12:40:00,US.COST,0.17559508877796212
2026-03-04 13:00:00,US.COST,0.1587804055460507
