run_id,window,start,end,n_bars,timesteps,cumulative_return,sharpe,max_drawdown,final_equity,news_coverage,calmar,approx_kl,entropy_loss,ppo_updates
20260824_131239,1,2026-06-15,2026-07-21,1924,65536,0.0206231408676196,0.0559802713945536,0.0169243830006666,1020623.1408676195,1.0,1.218546098064983,0.0130186844617128,-7.085035710036754,8
20260824_131239,2,2026-06-16,2026-07-22,1950,65536,0.0130296720140257,0.0214205660995759,0.0261372459441926,1013029.6720140256,1.0,0.4985097527813837,0.0104386061429977,-7.035335420072078,8
20260824_131239,3,2026-06-17,2026-07-23,1950,65536,0.0247006697493328,0.0332778615765027,0.0290655040747535,1024700.6697493328,1.0,0.8498276749580944,0.0103256506845355,-6.9931378096342085,8
20260824_131239,4,2026-06-18,2026-07-24,1950,65536,0.0686361634271977,0.0667571854973614,0.0337225662167665,1068636.1634271976,0.9764880321965684,2.035318515975587,0.0100530367344617,-6.920298217236995,8
20260824_131239,5,2026-06-19,2026-07-25,1898,65536,0.110172998753387,0.0924851812477727,0.0233380149836452,1110172.998753387,0.975764192139738,4.7207527645600456,0.0099020320922136,-6.902733205258846,8
20260824_131239,6,2026-06-22,2026-07-27,1924,65536,0.1098137215922694,0.104243884893157,0.0237550440347687,1109813.7215922694,0.9524930451530066,4.622753863623332,0.0103849675506353,-6.841572587192059,8
20260824_131239,7,2026-06-23,2026-07-28,1950,65536,0.0932920978280493,0.1005220321042444,0.0307343386311033,1093292.0978280494,0.9451387417919932,3.0354353463665245,0.0107244430109858,-6.770039054751396,8
20260824_131239,8,2026-06-24,2026-07-29,1950,65536,0.0714914608075512,0.0853304858143541,0.0283226320659854,1071491.4608075512,0.9373014191908494,2.524181391086536,0.0104801533743739,-6.715792852640152,8
20260824_131239,9,2026-06-25,2026-07-30,1950,65536,-0.0018349289434049,-0.0009829602146066,0.0507060621481926,998165.0710565952,0.9294640965897056,-0.0361875654639133,0.0119291190057992,-6.677067472040653,8
20260824_131239,10,2026-06-26,2026-07-31,1950,65536,0.0590239745508585,0.069002100836865,0.0500748448622152,1059023.9745508586,0.9216267739885616,1.178715075668582,0.0114025576040148,-6.667605355381966,8
