run_id,role,window,start,end,n_bars,timesteps,cumulative_return,sharpe,max_drawdown,final_equity,news_coverage,calmar,approx_kl,entropy_loss,ppo_updates,zip,beats_trading_golden,beats_live_best
resurrection_20260820,trading_golden,113,2026-07-09,2026-08-12,,,,,,,,2.053856720691549,,,,checkpoint_2026-08-12.zip,,
resurrection_20260820,training_seed,118,2026-07-15,2026-08-18,,,,,,,,1.832871817457733,,,,checkpoint_2026-08-18.zip,,
live,live_best,113,2026-07-09,2026-08-12,,,,,,,,2.053856720691549,,,,best_model.zip,,
20260825_092432,finetune,121,2026-07-18,2026-08-21,1866,65536,0.3722764254136668,0.0735976412638805,0.02815828843133774,1372276.4254136668,0.8071921982933766,13.220847081009204,0.0048347171396017075,-25.983504217863082,8,finetuned_2026-08-25.zip,True,True
20260825_092432,finetune,122,2026-07-20,2026-08-24,1879,65536,0.4270220799728044,0.08282760856594898,0.026835857889799485,1427022.0799728043,0.8055830528608197,15.912369253345865,0.0036018365062773228,-26.289805912971495,8,finetuned_2026-08-25.zip,True,True
