2026-08-25 09:36:29 | INFO     | airaire.utils | Session log -> C:\Users\klmong\Desktop\airaire\logs\trader_v2_11_20260825_093629.txt
2026-08-25 09:36:29 | INFO     | airaire.v2_11 | ============================================================
2026-08-25 09:36:29 | INFO     | airaire.v2_11 | AirAire V2.11 warm-start — seed zip (confirm vs GPU run_trader.bat banner)
2026-08-25 09:36:29 | INFO     | airaire.v2_11 |   path   : C:\Users\klmong\Desktop\airaire\models\news_gpu_v2\best_model.zip
2026-08-25 09:36:29 | INFO     | airaire.v2_11 |   exists : True  (15.29 MB)
2026-08-25 09:36:29 | INFO     | airaire.v2_11 |   role   : V2 paper brain (782-dim, Box[-1,1]). Not checkpoint_2026-08-20.zip.
2026-08-25 09:36:29 | INFO     | airaire.v2_11 | ============================================================
2026-08-25 09:36:29 | INFO     | airaire.v2_11 | ============================================================
2026-08-25 09:36:29 | INFO     | airaire.v2_11 | AirAire V2.11 inference — seed zip (confirm vs GPU run_trader.bat banner)
2026-08-25 09:36:29 | INFO     | airaire.v2_11 |   path   : C:\Users\klmong\Desktop\airaire\models\news_gpu_v2_11\best_model.zip
2026-08-25 09:36:29 | INFO     | airaire.v2_11 |   exists : True  (15.29 MB)
2026-08-25 09:36:29 | INFO     | airaire.v2_11 |   role   : V2 paper brain (782-dim, Box[-1,1]). Not checkpoint_2026-08-20.zip.
2026-08-25 09:36:29 | INFO     | airaire.v2_11 | ============================================================
2026-08-25 09:36:29 | INFO     | airaire.inference_v2_11 | Session log file (survives closing this window): C:\Users\klmong\Desktop\airaire\logs\trader_v2_11_20260825_093629.txt
2026-08-25 09:36:29 | INFO     | airaire.inference_v2_11 | V2.11 paper: obs_dim=782 expected=782 state=C:\Users\klmong\Desktop\airaire\state_v2_11.pkl (does not write state.pkl / news_gpu_v2)
2026-08-25 09:36:29 | INFO     | airaire.inference_v2_11 | No state_v2_11.pkl — starting a flat V2.11 book (cash=1000000.00).
2026-08-25 09:36:30 | INFO     | airaire.inference_v2_11 | Loaded V2 panel C:\Users\klmong\Desktop\airaire\data\enhanced\enhanced_data.parquet in memory (32673 rows). Will not persist it.
2026-08-25 09:36:31 | INFO     | airaire.trading_env | News block aligned: bars=9527 coverage=95.1% sample=[0.2150000035762787, 0.21899999678134918, 0.08100000023841858, 0.0, 0.0]
2026-08-25 09:36:36 | INFO     | airaire.inference | Loaded PPO policy from C:\Users\klmong\Desktop\airaire\models\news_gpu_v2_11\best_model.zip
2026-08-25 09:36:36 | INFO     | airaire.inference_v2_11 | V2.11 env obs_dim=782 expected=782
2026-08-25 09:36:36 | INFO     | airaire.inference | Connected to Futu OpenD at 127.0.0.1:11111
2026-08-25 09:36:36 | INFO     | airaire.inference_v2_11 | V2.11 sync OpenD position HK.03750: pickle=0.0000 -> OpenD=1500.0000
2026-08-25 09:36:36 | INFO     | airaire.inference_v2_11 | V2.11 sync OpenD position US.COST: pickle=0.0000 -> OpenD=-8.0000
2026-08-25 09:36:36 | INFO     | airaire.inference_v2_11 | V2.11 sync OpenD position US.KO: pickle=0.0000 -> OpenD=32.0000
2026-08-25 09:36:36 | INFO     | airaire.inference_v2_11 | V2.11 sync OpenD HK cash=30445.06 accinfo={'total_assets': 1012945.065, 'cash': 30445.065, 'market_val': 982500.0}
2026-08-25 09:36:36 | INFO     | airaire.inference_v2_11 | V2.11 sync OpenD US cash=992696.79 accinfo={'total_assets': 1000303.193, 'cash': 992696.793, 'market_val': -4827.52}
2026-08-25 09:36:36 | INFO     | airaire.data_loader | Futu 10-min HK.00700: 33 bars (2026-08-24 09:40:00 → 2026-08-24 16:00:00)
