2026-08-25 22:22:32 | INFO     | airaire.utils | Session log -> C:\Users\klmong\Desktop\airaire\logs\trader_v2_11_20260825_222232.txt
2026-08-25 22:22:32 | INFO     | airaire.v2_11 | ============================================================
2026-08-25 22:22:32 | INFO     | airaire.v2_11 | AirAire V2.11 warm-start — seed zip (confirm vs GPU run_trader.bat banner)
2026-08-25 22:22:32 | INFO     | airaire.v2_11 |   path   : C:\Users\klmong\Desktop\airaire\models\news_gpu_v2\best_model.zip
2026-08-25 22:22:32 | INFO     | airaire.v2_11 |   exists : True  (15.29 MB)
2026-08-25 22:22:32 | INFO     | airaire.v2_11 |   role   : V2 paper brain (782-dim, Box[-1,1]). Not checkpoint_2026-08-20.zip.
2026-08-25 22:22:32 | INFO     | airaire.v2_11 | ============================================================
2026-08-25 22:22:32 | INFO     | airaire.v2_11 | ============================================================
2026-08-25 22:22:32 | INFO     | airaire.v2_11 | AirAire V2.11 inference — seed zip (confirm vs GPU run_trader.bat banner)
2026-08-25 22:22:32 | INFO     | airaire.v2_11 |   path   : C:\Users\klmong\Desktop\airaire\models\news_gpu_v2_11\best_model.zip
2026-08-25 22:22:32 | INFO     | airaire.v2_11 |   exists : True  (15.29 MB)
2026-08-25 22:22:32 | INFO     | airaire.v2_11 |   role   : V2 paper brain (782-dim, Box[-1,1]). Not checkpoint_2026-08-20.zip.
2026-08-25 22:22:32 | INFO     | airaire.v2_11 | ============================================================
2026-08-25 22:22:32 | INFO     | airaire.inference_v2_11 | Session log file (survives closing this window): C:\Users\klmong\Desktop\airaire\logs\trader_v2_11_20260825_222232.txt
2026-08-25 22:22:32 | INFO     | airaire.inference_v2_11 | V2.11 paper: obs_dim=782 expected=782 state=C:\Users\klmong\Desktop\airaire\state_v2_11.pkl (does not write state.pkl / news_gpu_v2)
2026-08-25 22:22:32 | WARNING  | airaire.inference_v2_11 | V2.11 dashboard push is ON — this shares the V2 blotter. Prefer --predict-now first.
2026-08-25 22:22:32 | INFO     | airaire.inference | Loaded state.pkl updated_at=2026-08-25T07:50:59.134299+00:00 last_bar=HK:2026-08-25 15:40:00 cash=37195.06 holdings={'HK.00700': 0.0, 'HK.03690': 0.0, 'HK.03750': 1500.0, 'US.COST': -8.0, 'US.KO': 32.0} last_action={'HK.00700': 0.0, 'HK.03690': 0.0, 'HK.03750': 1.0, 'US.COST': -1.0, 'US.KO': 0.6917888522148132} pnl=0.00
2026-08-25 22:22:34 | INFO     | airaire.inference_v2_11 | Loaded V2 panel C:\Users\klmong\Desktop\airaire\data\enhanced\enhanced_data.parquet in memory (32673 rows). Will not persist it.
2026-08-25 22:22:35 | INFO     | airaire.trading_env | News block aligned: bars=9527 coverage=95.1% sample=[0.2150000035762787, 0.21899999678134918, 0.08100000023841858, 0.0, 0.0]
2026-08-25 22:23:04 | INFO     | airaire.inference | Loaded PPO policy from C:\Users\klmong\Desktop\airaire\models\news_gpu_v2_11\best_model.zip
2026-08-25 22:23:04 | INFO     | airaire.inference_v2_11 | V2.11 env obs_dim=782 expected=782
2026-08-25 22:23:04 | INFO     | airaire.inference | Connected to Futu OpenD at 127.0.0.1:11111
2026-08-25 22:23:04 | INFO     | airaire.inference_v2_11 | V2.11 sync OpenD position HK.03750: pickle=1500.0000 -> OpenD=0.0000
2026-08-25 22:23:04 | INFO     | airaire.inference_v2_11 | V2.11 sync OpenD HK cash=34518.50 accinfo={'total_assets': 966018.496, 'cash': 34518.496, 'market_val': 931500.0}
2026-08-25 22:23:04 | INFO     | airaire.inference_v2_11 | V2.11 sync OpenD US cash=992763.80 accinfo={'total_assets': 1000333.393, 'cash': 992763.801, 'market_val': -4797.32}
2026-08-25 22:23:04 | INFO     | airaire.data_loader | Futu 10-min HK.00700: 66 bars (2026-08-24 09:40:00 → 2026-08-25 16:00:00)
2026-08-25 22:23:04 | INFO     | airaire.data_loader | Futu 10-min HK.03690: 66 bars (2026-08-24 09:40:00 → 2026-08-25 16:00:00)
2026-08-25 22:23:04 | INFO     | airaire.data_loader | Futu 10-min HK.03750: 66 bars (2026-08-24 09:40:00 → 2026-08-25 16:00:00)
2026-08-25 22:23:04 | INFO     | airaire.data_loader | Futu 10-min US.COST: 44 bars (2026-08-24 09:40:00 → 2026-08-25 10:20:00)
2026-08-25 22:23:04 | INFO     | airaire.data_loader | Futu 10-min US.KO: 44 bars (2026-08-24 09:40:00 → 2026-08-25 10:20:00)
