2026-08-25 09:47:16 | INFO     | airaire.data_loader | Futu 10-min US.COST: 39 bars (2026-08-24 09:40:00 → 2026-08-24 16:00:00)
2026-08-25 09:47:16 | INFO     | airaire.data_loader | Futu 10-min US.KO: 39 bars (2026-08-24 09:40:00 → 2026-08-24 16:00:00)
2026-08-25 09:47:16 | INFO     | airaire.data_loader | Dropped 3 incomplete 10-min kline(s) still forming at 2026-08-25 09:47:15.968646.
2026-08-25 09:47:16 | INFO     | airaire.data_loader | Futu history overlay: 177 rows, tickers=['HK.00700', 'HK.03690', 'HK.03750', 'US.COST', 'US.KO'], span=2026-08-24 09:40:00 → 2026-08-24 16:00:00
2026-08-25 09:47:16 | INFO     | airaire.inference | Catch-up merged 177 live Futu rows into the panel (32673 → 32673).
2026-08-25 09:47:17 | INFO     | airaire.trading_env | News block aligned: bars=9527 coverage=95.1% sample=[0.2150000035762787, 0.21899999678134918, 0.08100000023841858, 0.0, 0.0]
2026-08-25 09:47:17 | INFO     | airaire.trading_env | TradingEnv seek_to_datetime target=2026-08-25 09:47:17.368914 -> bar=9526/9526 dt=2026-08-24 16:00:00
2026-08-25 09:47:17 | INFO     | airaire.inference | State catch-up complete (no orders). env_before=2026-08-24 16:00:00 env_now=2026-08-24 16:00:00 bar=9526/9526 rebuilt=True hk_cash=30445.06 equity=979945.06 seek=2026-08-25 09:47:17.384576 clock=HK
2026-08-25 09:47:17 | INFO     | airaire.inference_v2_11 | OpenD pending: SELL 1500 HK.03750 @633.50
2026-08-25 09:47:17 | WARNING  | airaire.news_loader | NewsPoller: no headlines for HK.00700 across aliases ('TCEHY',).
2026-08-25 09:47:18 | WARNING  | airaire.news_loader | NewsPoller: no headlines for HK.03690 across aliases ('MPNGY',).
2026-08-25 09:47:18 | WARNING  | airaire.news_loader | NewsPoller: no headlines for HK.03750 across aliases ('300750',).
2026-08-25 09:47:18 | INFO     | airaire.inference_v2_11 | Same 10-min bar (HK:2026-08-24 16:00:00) and news unchanged — skip orders this 60s cycle (no 1-min price chase).
2026-08-25 09:47:18 | INFO     | airaire.inference_v2_11 | [preview, no order] Action: Hold. raw -1.00 → clipped +0.00 (HK long-only); policy tgt +0.00 (flat); news +0.00 (Δ+0.00, no jump).
2026-08-25 09:47:18 | INFO     | airaire.inference_v2_11 | [preview, no order] Action: Hold. raw -1.00 → clipped +0.00 (HK long-only); policy tgt +0.00 (flat); news +0.00 (Δ+0.00, no jump).
2026-08-25 09:47:18 | INFO     | airaire.inference_v2_11 | [preview, no order] Action: Sell 1500 CATL. raw -0.05 → clipped +0.00 (HK long-only); policy tgt +0.00 (flat); book 1500→0 (on fill, not submit); news +0.00 (Δ+0.00, no jump).
2026-08-25 09:47:18 | INFO     | airaire.inference_v2_11 | US.COST market closed — policy tgt -1.000 (raw -1.000), keep holdings=-8.0000, no order.
2026-08-25 09:47:18 | INFO     | airaire.inference_v2_11 | US.KO market closed — policy tgt +1.000 (raw +1.000), keep holdings=32.0000, no order.
2026-08-25 09:47:18 | INFO     | airaire.inference | Wrote state_v2_11.pkl (cash=30445.06 equity=979945.06 holdings={'HK.00700': 0.0, 'HK.03690': 0.0, 'HK.03750': 1500.0, 'US.COST': -8.0, 'US.KO': 32.0})
2026-08-25 09:47:18 | INFO     | airaire.dashboard_push | Dashboard snapshot pushed kind=live equity=979945.06
2026-08-25 09:48:18 | INFO     | airaire.data_loader | Futu 10-min HK.00700: 34 bars (2026-08-24 09:40:00 → 2026-08-25 09:40:00)
2026-08-25 09:48:18 | INFO     | airaire.data_loader | Futu 10-min HK.03690: 34 bars (2026-08-24 09:40:00 → 2026-08-25 09:40:00)
2026-08-25 09:48:18 | INFO     | airaire.data_loader | Futu 10-min HK.03750: 34 bars (2026-08-24 09:40:00 → 2026-08-25 09:40:00)
2026-08-25 09:48:18 | INFO     | airaire.data_loader | Futu 10-min US.COST: 39 bars (2026-08-24 09:40:00 → 2026-08-24 16:00:00)
2026-08-25 09:48:18 | INFO     | airaire.data_loader | Futu 10-min US.KO: 39 bars (2026-08-24 09:40:00 → 2026-08-24 16:00:00)
2026-08-25 09:48:18 | INFO     | airaire.data_loader | Dropped 3 incomplete 10-min kline(s) still forming at 2026-08-25 09:48:18.442377.
2026-08-25 09:48:18 | INFO     | airaire.data_loader | Futu history overlay: 177 rows, tickers=['HK.00700', 'HK.03690', 'HK.03750', 'US.COST', 'US.KO'], span=2026-08-24 09:40:00 → 2026-08-24 16:00:00
2026-08-25 09:48:18 | INFO     | airaire.inference | Catch-up merged 177 live Futu rows into the panel (32673 → 32673).
2026-08-25 09:48:19 | INFO     | airaire.trading_env | News block aligned: bars=9527 coverage=95.1% sample=[0.2150000035762787, 0.21899999678134918, 0.08100000023841858, 0.0, 0.0]
2026-08-25 09:48:19 | INFO     | airaire.trading_env | TradingEnv seek_to_datetime target=2026-08-25 09:48:19.881500 -> bar=9526/9526 dt=2026-08-24 16:00:00
2026-08-25 09:48:19 | INFO     | airaire.inference | State catch-up complete (no orders). env_before=2026-08-24 16:00:00 env_now=2026-08-24 16:00:00 bar=9526/9526 rebuilt=True hk_cash=30445.06 equity=979195.06 seek=2026-08-25 09:48:19.897053 clock=HK
2026-08-25 09:48:19 | INFO     | airaire.inference_v2_11 | OpenD pending: SELL 1500 HK.03750 @633.50
2026-08-25 09:48:20 | WARNING  | airaire.news_loader | NewsPoller: no headlines for HK.00700 across aliases ('TCEHY',).
2026-08-25 09:48:20 | WARNING  | airaire.news_loader | NewsPoller: no headlines for HK.03690 across aliases ('MPNGY',).
2026-08-25 09:48:20 | WARNING  | airaire.news_loader | NewsPoller: no headlines for HK.03750 across aliases ('300750',).
2026-08-25 09:48:20 | INFO     | airaire.inference_v2_11 | Same 10-min bar (HK:2026-08-24 16:00:00) and news unchanged — skip orders this 60s cycle (no 1-min price chase).
2026-08-25 09:48:20 | INFO     | airaire.inference_v2_11 | [preview, no order] Action: Hold. raw -1.00 → clipped +0.00 (HK long-only); policy tgt +0.00 (flat); news +0.00 (Δ+0.00, no jump).
2026-08-25 09:48:20 | INFO     | airaire.inference_v2_11 | [preview, no order] Action: Hold. raw -1.00 → clipped +0.00 (HK long-only); policy tgt +0.00 (flat); news +0.00 (Δ+0.00, no jump).
