run_id,window,start,end,n_bars,timesteps,cumulative_return,sharpe,max_drawdown,final_equity,news_coverage,calmar,approx_kl,entropy_loss,ppo_updates
20260824_143412,1,2026-06-15,2026-07-21,1924,65536,-0.0122972089861636,-0.0881016629932372,0.0174277219984204,987702.7910138364,1.0,-0.7056119547510652,0.0068445117212831,-7.108751633763314,8
20260824_143412,2,2026-06-16,2026-07-22,1950,65536,0.0126961138675125,0.0361468705324416,0.0104480504452219,1012696.1138675126,1.0,1.2151658277376245,0.0079833045601844,-7.152630992233753,8
20260824_143412,3,2026-06-17,2026-07-23,1950,65536,0.043811345506455,0.1101641123687579,0.0076627865644941,1043811.345506455,1.0,5.717416913248886,0.0076424982398748,-7.165018674731255,8
20260824_143412,4,2026-06-18,2026-07-24,1950,65536,0.0647618914586691,0.1375006674148687,0.0092125074432986,1064761.8914586692,0.9764880321965684,7.029779010466713,0.0099771721288561,-7.123957172036171,8
20260824_143412,5,2026-06-19,2026-07-25,1898,65536,0.0844781087344288,0.1273060333500213,0.0139080851296426,1084478.1087344289,0.975764192139738,6.074028735586227,0.0105057079344987,-7.113565020263195,8
20260824_143412,6,2026-06-22,2026-07-27,1924,65536,0.0750828382912425,0.1159960925911612,0.0142272963151263,1075082.8382912425,0.9524930451530066,5.277379245374599,0.0102817062288522,-7.015484496951103,8
20260824_143412,7,2026-06-23,2026-07-28,1950,65536,0.0792327864417956,0.1416892304842364,0.0121505051376418,1079232.7864417958,0.9451387417919932,6.520945882022223,0.0124727049842476,-6.892676261067391,8
20260824_143412,8,2026-06-24,2026-07-29,1950,65536,0.0637215044029233,0.112200519746816,0.0114258145313944,1063721.5044029234,0.9373014191908494,5.576976961059304,0.0131208375096321,-6.82280871719122,8
20260824_143412,9,2026-06-25,2026-07-30,1950,65536,0.0858883417325482,0.1176188119491368,0.0150669564229984,1085888.3417325483,0.9294640965897056,5.700444026070652,0.0136526450514793,-6.784391932189465,8
20260824_143412,10,2026-06-26,2026-07-31,1950,65536,0.0830023862936799,0.0791684165426372,0.0168511325775201,1083002.38629368,0.9216267739885616,4.925626566157781,0.0154673103243112,-6.7671981528401375,8
20260824_143412,11,2026-06-27,2026-08-01,1898,65536,0.0591034832541446,0.052676901189194,0.0367778993180072,1059103.483254145,0.9192139737991266,1.6070380405116358,0.017514556646347,-6.729768761992455,8
20260824_143412,12,2026-06-29,2026-08-03,1924,65536,0.0430935327341415,0.0401134185962863,0.0345140973488907,1043093.5327341416,0.9129039161138456,1.2485777130001192,0.0191083960235118,-6.732047851383686,8
20260824_143412,13,2026-06-30,2026-08-04,1950,65536,0.0221720893186543,0.0222930690271867,0.0392588890421151,1022172.0893186544,0.905952128786274,0.5647660914415866,0.0195896215736866,-6.646052880585193,8
20260824_143412,14,2026-07-01,2026-08-05,1950,65536,0.0005298036857608,0.002087482649913,0.0436711750995925,1000529.8036857608,0.8981148061851303,0.0121316562824931,0.0190258212387561,-6.560485529899597,8
20260824_143412,15,2026-07-02,2026-08-06,1987,65536,-0.0230628680329669,-0.0386091832410359,0.0433172393810096,976937.131967033,0.8927980132450332,-0.5324177709043427,0.0197875145822763,-6.518738174438477,8
20260824_143412,16,2026-07-03,2026-08-07,1987,65536,0.0064847290483729,0.0118475632851966,0.0396851068035408,1006484.729048373,0.8847268211920529,0.1634046011385396,0.0161428693681955,-6.492804889380932,8
20260824_143412,17,2026-07-06,2026-08-08,1950,65536,0.002522045960712,0.0044647500870575,0.0434360058225997,1002522.045960712,0.8820165219233214,0.0580634870299197,0.0183355938643217,-6.464309173822403,8
